timestamp,P-PDG,P-TPT,T-TPT,P-MON-CKP,T-JUS-CKP,P-JUS-CKGL,T-JUS-CKGL,QGL,class
2018-05-19 00:02:15.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:02:16.000000,2.756724e+07,,,,,,,,0
2018-05-19 00:02:17.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:02:18.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:02:19.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:02:20.000000,2.756724e+07,,,,,,,,0
2018-05-19 00:02:21.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:02:22.000000,2.756721e+07,,,,,,,,0
2018-05-19 00:02:23.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:02:24.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:02:25.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:02:26.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:02:27.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:02:28.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:02:29.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:02:30.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:02:31.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:02:32.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:02:33.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:02:34.000000,2.756721e+07,,,,,,,,0
2018-05-19 00:02:35.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:02:36.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:02:37.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:02:38.000000,2.756721e+07,,,,,,,,0
2018-05-19 00:02:39.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:02:40.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:02:41.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:02:42.000000,2.756721e+07,,,,,,,,0
2018-05-19 00:02:43.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:02:44.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:02:45.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:02:46.000000,2.756721e+07,,,,,,,,0
2018-05-19 00:02:47.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:02:48.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:02:49.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:02:50.000000,2.756721e+07,,,,,,,,0
2018-05-19 00:02:51.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:02:52.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:02:53.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:02:54.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:02:55.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:02:56.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:02:57.000000,2.756731e+07,,,,,,,,0
2018-05-19 00:02:58.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:02:59.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:03:00.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:03:01.000000,2.756731e+07,,,,,,,,0
2018-05-19 00:03:02.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:03:03.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:03:04.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:03:05.000000,2.756731e+07,,,,,,,,0
2018-05-19 00:03:06.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:03:07.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:03:08.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:03:09.000000,2.756731e+07,,,,,,,,0
2018-05-19 00:03:10.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:03:11.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:03:12.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:03:13.000000,2.756731e+07,,,,,,,,0
2018-05-19 00:03:14.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:03:15.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:03:16.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:03:17.000000,2.756731e+07,,,,,,,,0
2018-05-19 00:03:18.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:03:19.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:03:20.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:03:21.000000,2.756731e+07,,,,,,,,0
2018-05-19 00:03:22.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:03:23.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:03:24.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:03:25.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:03:26.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:03:27.000000,2.756724e+07,,,,,,,,0
2018-05-19 00:03:28.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:03:29.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:03:30.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:03:31.000000,2.756724e+07,,,,,,,,0
2018-05-19 00:03:32.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:03:33.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:03:34.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:03:35.000000,2.756724e+07,,,,,,,,0
2018-05-19 00:03:36.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:03:37.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:03:38.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:03:39.000000,2.756724e+07,,,,,,,,0
2018-05-19 00:03:40.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:03:41.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:03:42.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:03:43.000000,2.756724e+07,,,,,,,,0
2018-05-19 00:03:44.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:03:45.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:03:46.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:03:47.000000,2.756724e+07,,,,,,,,0
2018-05-19 00:03:48.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:03:49.000000,2.756721e+07,,,,,,,,0
2018-05-19 00:03:50.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:03:51.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:03:52.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:03:53.000000,2.756721e+07,,,,,,,,0
2018-05-19 00:03:54.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:03:55.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:03:56.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:03:57.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:03:58.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:03:59.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:04:00.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:04:01.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:04:02.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:04:03.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:04:04.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:04:05.000000,2.756721e+07,,,,,,,,0
2018-05-19 00:04:06.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:04:07.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:04:08.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:04:09.000000,2.756721e+07,,,,,,,,0
2018-05-19 00:04:10.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:04:11.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:04:12.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:04:13.000000,2.756721e+07,,,,,,,,0
2018-05-19 00:04:14.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:04:15.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:04:16.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:04:17.000000,2.756721e+07,,,,,,,,0
2018-05-19 00:04:18.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:04:19.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:04:20.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:04:21.000000,2.756721e+07,,,,,,,,0
2018-05-19 00:04:22.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:04:23.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:04:24.000000,2.756731e+07,,,,,,,,0
2018-05-19 00:04:25.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:04:26.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:04:27.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:04:28.000000,2.756731e+07,,,,,,,,0
2018-05-19 00:04:29.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:04:30.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:04:31.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:04:32.000000,2.756731e+07,,,,,,,,0
2018-05-19 00:04:33.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:04:34.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:04:35.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:04:36.000000,2.756731e+07,,,,,,,,0
2018-05-19 00:04:37.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:04:38.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:04:39.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:04:40.000000,2.756731e+07,,,,,,,,0
2018-05-19 00:04:41.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:04:42.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:04:43.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:04:44.000000,2.756731e+07,,,,,,,,0
2018-05-19 00:04:45.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:04:46.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:04:47.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:04:48.000000,2.756731e+07,,,,,,,,0
2018-05-19 00:04:49.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:04:50.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:04:51.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:04:52.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:04:53.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:04:54.000000,2.756724e+07,,,,,,,,0
2018-05-19 00:04:55.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:04:56.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:04:57.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:04:58.000000,2.756724e+07,,,,,,,,0
2018-05-19 00:04:59.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:05:00.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:05:01.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:05:02.000000,2.756724e+07,,,,,,,,0
2018-05-19 00:05:03.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:05:04.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:05:05.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:05:06.000000,2.756724e+07,,,,,,,,0
2018-05-19 00:05:07.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:05:08.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:05:09.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:05:10.000000,2.756724e+07,,,,,,,,0
2018-05-19 00:05:11.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:05:12.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:05:13.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:05:14.000000,2.756724e+07,,,,,,,,0
2018-05-19 00:05:15.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:05:16.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:05:17.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:05:18.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:05:19.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:05:20.000000,2.756721e+07,,,,,,,,0
2018-05-19 00:05:21.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:05:22.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:05:23.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:05:24.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:05:25.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:05:26.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:05:27.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:05:28.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:05:29.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:05:30.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:05:31.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:05:32.000000,2.756721e+07,,,,,,,,0
2018-05-19 00:05:33.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:05:34.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:05:35.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:05:36.000000,2.756721e+07,,,,,,,,0
2018-05-19 00:05:37.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:05:38.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:05:39.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:05:40.000000,2.756721e+07,,,,,,,,0
2018-05-19 00:05:41.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:05:42.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:05:43.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:05:44.000000,2.756721e+07,,,,,,,,0
2018-05-19 00:05:45.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:05:46.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:05:47.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:05:48.000000,2.756721e+07,,,,,,,,0
2018-05-19 00:05:49.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:05:50.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:05:51.000000,2.756731e+07,,,,,,,,0
2018-05-19 00:05:52.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:05:53.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:05:54.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:05:55.000000,2.756731e+07,,,,,,,,0
2018-05-19 00:05:56.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:05:57.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:05:58.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:05:59.000000,2.756731e+07,,,,,,,,0
2018-05-19 00:06:00.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:06:01.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:06:02.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:06:03.000000,2.756731e+07,,,,,,,,0
2018-05-19 00:06:04.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:06:05.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:06:06.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:06:07.000000,2.756731e+07,,,,,,,,0
2018-05-19 00:06:08.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:06:09.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:06:10.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:06:11.000000,2.756731e+07,,,,,,,,0
2018-05-19 00:06:12.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:06:13.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:06:14.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:06:15.000000,2.756731e+07,,,,,,,,0
2018-05-19 00:06:16.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:06:17.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:06:18.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:06:19.000000,2.756731e+07,,,,,,,,0
2018-05-19 00:06:20.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:06:21.000000,2.756724e+07,,,,,,,,0
2018-05-19 00:06:22.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:06:23.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:06:24.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:06:25.000000,2.756724e+07,,,,,,,,0
2018-05-19 00:06:26.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:06:27.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:06:28.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:06:29.000000,2.756724e+07,,,,,,,,0
2018-05-19 00:06:30.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:06:31.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:06:32.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:06:33.000000,2.756724e+07,,,,,,,,0
2018-05-19 00:06:34.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:06:35.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:06:36.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:06:37.000000,2.756724e+07,,,,,,,,0
2018-05-19 00:06:38.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:06:39.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:06:40.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:06:41.000000,2.756724e+07,,,,,,,,0
2018-05-19 00:06:42.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:06:43.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:06:44.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:06:45.000000,2.756724e+07,,,,,,,,0
2018-05-19 00:06:46.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:06:47.000000,2.756721e+07,,,,,,,,0
2018-05-19 00:06:48.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:06:49.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:06:50.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:06:51.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:06:52.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:06:53.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:06:54.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:06:55.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:06:56.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:06:57.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:06:58.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:06:59.000000,2.756721e+07,,,,,,,,0
2018-05-19 00:07:00.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:07:01.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:07:02.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:07:03.000000,2.756721e+07,,,,,,,,0
2018-05-19 00:07:04.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:07:05.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:07:06.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:07:07.000000,2.756721e+07,,,,,,,,0
2018-05-19 00:07:08.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:07:09.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:07:10.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:07:11.000000,2.756721e+07,,,,,,,,0
2018-05-19 00:07:12.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:07:13.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:07:14.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:07:15.000000,2.756721e+07,,,,,,,,0
2018-05-19 00:07:16.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:07:17.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:07:18.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:07:19.000000,2.756721e+07,,,,,,,,0
2018-05-19 00:07:20.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:07:21.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:07:22.000000,2.756731e+07,,,,,,,,0
2018-05-19 00:07:23.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:07:24.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:07:25.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:07:26.000000,2.756731e+07,,,,,,,,0
2018-05-19 00:07:27.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:07:28.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:07:29.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:07:30.000000,2.756731e+07,,,,,,,,0
2018-05-19 00:07:31.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:07:32.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:07:33.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:07:34.000000,2.756731e+07,,,,,,,,0
2018-05-19 00:07:35.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:07:36.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:07:37.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:07:38.000000,2.756731e+07,,,,,,,,0
2018-05-19 00:07:39.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:07:40.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:07:41.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:07:42.000000,2.756731e+07,,,,,,,,0
2018-05-19 00:07:43.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:07:44.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:07:45.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:07:46.000000,2.756731e+07,,,,,,,,0
2018-05-19 00:07:47.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:07:48.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:07:49.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:07:50.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:07:51.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:07:52.000000,2.756724e+07,,,,,,,,0
2018-05-19 00:07:53.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:07:54.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:07:55.000000,2.756729e+07,,,,,,,,0
2018-05-19 00:07:56.000000,2.756724e+07,,,,,,,,0
2018-05-19 00:07:57.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:07:58.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:07:59.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:08:00.000000,2.756724e+07,,,,,,,,0
2018-05-19 00:08:01.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:08:02.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:08:03.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:08:04.000000,2.756724e+07,,,,,,,,0
2018-05-19 00:08:05.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:08:06.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:08:07.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:08:08.000000,2.756724e+07,,,,,,,,0
2018-05-19 00:08:09.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:08:10.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:08:11.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:08:12.000000,2.756724e+07,,,,,,,,0
2018-05-19 00:08:13.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:08:14.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:08:15.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:08:16.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:08:17.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:08:18.000000,2.756721e+07,,,,,,,,0
2018-05-19 00:08:19.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:08:20.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:08:21.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:08:22.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:08:23.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:08:24.000000,2.756723e+07,,,,,,,,0
2018-05-19 00:08:25.000000,2.756730e+07,,,,,,,,0
2018-05-19 00:08:26.000000,2.756722e+07,,,,,,,,0
2018-05-19 00:08:27.000000,2.756728e+07,,,,,,,,0
2018-05-19 00:08:28.000000,2.756723e+07,,,,,,,,0
